"""SIREN""","""NIC""","""L1_NORMALISEE""","""L2_NORMALISEE""","""L3_NORMALISEE""","""L4_NORMALISEE""","""L5_NORMALISEE""","""L6_NORMALISEE""","""L7_NORMALISEE""","""L1_DECLAREE""","""L2_DECLAREE""","""L3_DECLAREE""","""L4_DECLAREE""","""L5_DECLAREE""","""L6_DECLAREE""","""L7_DECLAREE""","""NUMVOIE""","""INDREP""","""TYPVOIE""","""LIBVOIE""","""CODPOS""","""CEDEX""","""RPET""","""LIBREG""","""DEPET""","""ARRONET""","""CTONET""","""COMET""","""LIBCOM""","""DU""","""TU""","""UU""","""EPCI""","""TCD""","""ZEMET""","""SIEGE""","""ENSEIGNE""","""IND_PUBLIPO""","""DIFFCOM""","""AMINTRET""","""NATETAB""","""LIBNATETAB""","""APET700""","""LIBAPET""","""DAPET""","""TEFET""","""LIBTEFET""","""EFETCENT""","""DEFET""","""ORIGINE""","""DCRET""","""DDEBACT""","""ACTIVNAT""","""LIEUACT""","""ACTISURF""","""SAISONAT""","""MODET""","""PRODET""","""PRODPART""","""AUXILT""","""NOMEN_LONG""","""SIGLE""","""NOM""","""PRENOM""","""CIVILITE""","""RNA""","""NICSIEGE""","""RPEN""","""DEPCOMEN""","""ADR_MAIL""","""NJ""","""LIBNJ""","""APEN700""","""LIBAPEN""","""DAPEN""","""APRM""","""ESS""","""DATEESS""","""TEFEN""","""LIBTEFEN""","""EFENCENT""","""DEFEN""","""CATEGORIE""","""DCREN""","""AMINTREN""","""MONOACT""","""MODEN""","""PRODEN""","""ESAANN""","""TCA""","""ESAAPEN""","""ESASEC1N""","""ESASEC2N""","""ESASEC3N""","""ESASEC4N""","""VMAJ""","""VMAJ1""","""VMAJ2""","""VMAJ3""","""DATEMAJ""","""EVE""","""DATEVE""","""TYPCREH""","""DREACTET""","""DREACTEN""","""MADRESSE""","""MENSEIGNE""","""MAPET""","""MPRODET""","""MAUXILT""","""MNOMEN""","""MSIGLE""","""MNICSIEGE""","""MNJ""","""MAPEN""","""MPRODEN""","""SIRETPS""","""TEL"""
322223009,00109,RETRAVAILLER PROVENCE FORMATION PROFES,,,RUE DU THORON,,83600 FREJUS,,RETRAVAILLER PROVENCE FORMATION PROFES,,,RUE DU THORON,,83600 FREJUS,,,,RUE,DU THORON,83600,,93,Provence-Alpes-Côte d'Azur,83,1,96,061,FREJUS,83,5,02,200035319,51,9314,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,02,3 à 5 salariés,3,2015,1,20010101,20010101,NR,99,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00109,RETRAVAILLER GRAND SUD EST,,,RUE DU THORON,,83600 FREJUS,,RETRAVAILLER GRAND SUD EST,,,RUE DU THORON,,83600 FREJUS,,,,RUE,DU THORON,83600,,93,Provence-Alpes-Côte d'Azur,83,1,96,061,FREJUS,83,5,02,200035319,51,9314,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,02,3 à 5 salariés,3,2015,1,20010101,20010101,NR,99,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00117,RETRAVAILLER PROVENCE FORMATION PROFES,CTRE AFF L HEXAGONE BT E,,QUARTIER LE PRE DE PAQUES,,83170 BRIGNOLES,FRANCE,RETRAVAILLER PROVENCE FORMATION PROFES,,CTRE AFF L'HEXAGONE BT E,QUA LE PRE DE PAQUES,,83170 BRIGNOLES,,,,QUA,LE PRE DE PAQUES,83170,,93,Provence-Alpes-Côte d'Azur,83,3,01,023,BRIGNOLES,83,4,01,200068104,32,9315,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,11,10 à 19 salariés,10,2015,1,20031001,20031001,NR,99,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00117,RETRAVAILLER GRAND SUD EST,CTRE AFF L HEXAGONE BT E,,QUARTIER LE PRE DE PAQUES,,83170 BRIGNOLES,FRANCE,RETRAVAILLER GRAND SUD EST,,CTRE AFF L'HEXAGONE BT E,QUA LE PRE DE PAQUES,,83170 BRIGNOLES,,,,QUA,LE PRE DE PAQUES,83170,,93,Provence-Alpes-Côte d'Azur,83,3,01,023,BRIGNOLES,83,4,01,200068104,32,9315,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,11,10 à 19 salariés,10,2015,1,20031001,20031001,NR,99,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00141,RETRAVAILLER PROVENCE FORMATION PROFES,,,77 RUE DES MOULINS,,13300 SALON DE PROVENCE,FRANCE,RETRAVAILLER PROVENCE FORMATION PROFES,,,77 RUE DES MOULINS,,13300 SALON DE PROVENCE,,77,,RUE,DES MOULINS,13300,,93,Provence-Alpes-Côte d'Azur,13,1,99,103,SALON DE PROVENCE,13,5,01,200054807,44,9312,0,,1,O,201209,,,8559A,Formation continue d'adultes,2011,03,6 à 9 salariés,6,2015,1,20111011,20111011,,,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00141,RETRAVAILLER GRAND SUD EST,,,77 RUE DES MOULINS,,13300 SALON DE PROVENCE,FRANCE,RETRAVAILLER GRAND SUD EST,,,77 RUE DES MOULINS,,13300 SALON DE PROVENCE,,77,,RUE,DES MOULINS,13300,,93,Provence-Alpes-Côte d'Azur,13,1,99,103,SALON DE PROVENCE,13,5,01,200054807,44,9312,0,,1,O,201209,,,8559A,Formation continue d'adultes,2011,03,6 à 9 salariés,6,2015,1,20111011,20111011,,,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00166,RETRAVAILLER PROVENCE FORMATION PROFES,,,175 RUE PARADIS,,13006 MARSEILLE,FRANCE,RETRAVAILLER PROVENCE FORMATION PROFES,,,175 RUE PARADIS,,13006 MARSEILLE 6,,175,,RUE,PARADIS,13006,,93,Provence-Alpes-Côte d'Azur,13,3,98,206,MARSEILLE 6,00,7,59,200054807,73,9310,1,,1,O,201209,,,8559A,Formation continue d'adultes,2012,12,20 à 49 salariés,20,2015,1,20120601,20120601,,,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,E,,,,2017-08-11T08:33:21,STS,20170410,,,,,,,,,,,,,,,,
322223009,00174,RETRAVAILLER PROVENCE FORMATION PROFES,,,9 RUE DU LYCEE,,26000 VALENCE,FRANCE,RETRAVAILLER PROVENCE FORMATION PROFES,,,9 RUE DU LYCEE,,26000 VALENCE,,9,,RUE,DU LYCEE,26000,,84,Auvergne-Rhône-Alpes,26,3,99,362,VALENCE,00,6,51,200068781,51,8208,0,,1,O,201209,,,8559A,Formation continue d'adultes,2012,12,20 à 49 salariés,20,2015,1,20120712,20120712,,,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00174,RETRAVAILLER GRAND SUD EST,,,9 RUE DU LYCEE,,26000 VALENCE,FRANCE,RETRAVAILLER GRAND SUD EST,,,9 RUE DU LYCEE,,26000 VALENCE,,9,,RUE,DU LYCEE,26000,,84,Auvergne-Rhône-Alpes,26,3,99,362,VALENCE,00,6,51,200068781,51,8208,0,,1,O,201209,,,8559A,Formation continue d'adultes,2012,12,20 à 49 salariés,20,2015,1,20120712,20120712,,,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00182,RETRAVAILLER PROVENCE FORMATION PROFES,,,2 RUE DE SEVIGNE,,13090 AIX EN PROVENCE,FRANCE,RETRAVAILLER PROVENCE FORMATION PROFES,,,2 RUE DE SEVIGNE,,13090 AIX EN PROVENCE,,2,,RUE,DE SEVIGNE,13090,,93,Provence-Alpes-Côte d'Azur,13,1,97,001,AIX EN PROVENCE,00,7,59,200054807,61,9308,0,,1,O,201209,,,8559A,Formation continue d'adultes,2012,01,1 ou 2 salariés,1,2015,1,20120901,20120901,,,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00182,RETRAVAILLER GRAND SUD EST,,,2 RUE DE SEVIGNE,,13090 AIX EN PROVENCE,FRANCE,RETRAVAILLER GRAND SUD EST,,,2 RUE DE SEVIGNE,,13090 AIX EN PROVENCE,,2,,RUE,DE SEVIGNE,13090,,93,Provence-Alpes-Côte d'Azur,13,1,97,001,AIX EN PROVENCE,00,7,59,200054807,61,9308,0,,1,O,201209,,,8559A,Formation continue d'adultes,2012,01,1 ou 2 salariés,1,2015,1,20120901,20120901,,,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00190,RETRAVAILLER PROVENCE FORMATION PROFES,,,22 BOULEVARD DE LA REPUBLIQUE,,06400 CANNES,FRANCE,RETRAVAILLER PROVENCE FORMATION PROFES,,,22 BD DE LA REPUBLIQUE,,06400 CANNES,,22,,BD,DE LA REPUBLIQUE,06400,,93,Provence-Alpes-Côte d'Azur,06,1,96,029,CANNES,06,7,01,200039915,52,9305,0,,1,O,201309,,,8559A,Formation continue d'adultes,2013,02,3 à 5 salariés,3,2015,1,20130513,20130513,,,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00190,RETRAVAILLER GRAND SUD EST,,,22 BOULEVARD DE LA REPUBLIQUE,,06400 CANNES,FRANCE,RETRAVAILLER GRAND SUD EST,,,22 BD DE LA REPUBLIQUE,,06400 CANNES,,22,,BD,DE LA REPUBLIQUE,06400,,93,Provence-Alpes-Côte d'Azur,06,1,96,029,CANNES,06,7,01,200039915,52,9305,0,,1,O,201309,,,8559A,Formation continue d'adultes,2013,02,3 à 5 salariés,3,2015,1,20130513,20130513,,,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00208,RETRAVAILLER PROVENCE FORMATION PROFES,,,195 AVENUE VAUBAN,,83000 TOULON,FRANCE,RETRAVAILLER PROVENCE FORMATION PROFES,,,195 AV VAUBAN,,83000 TOULON,,195,,AV,VAUBAN,83000,,93,Provence-Alpes-Côte d'Azur,83,2,99,137,TOULON,00,7,57,248300543,62,9315,0,,1,O,201311,,,8559A,Formation continue d'adultes,2012,01,1 ou 2 salariés,1,2015,1,20120201,20120201,,,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00208,RETRAVAILLER GRAND SUD EST,,,195 AVENUE VAUBAN,,83000 TOULON,FRANCE,RETRAVAILLER GRAND SUD EST,,,195 AV VAUBAN,,83000 TOULON,,195,,AV,VAUBAN,83000,,93,Provence-Alpes-Côte d'Azur,83,2,99,137,TOULON,00,7,57,248300543,62,9315,0,,1,O,201311,,,8559A,Formation continue d'adultes,2012,01,1 ou 2 salariés,1,2015,1,20120201,20120201,,,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00216,RETRAVAILLER GRAND SUD EST,,,28 ALLEE LEON GAMBETTA,,13001 MARSEILLE,FRANCE,RETRAVAILLER GRAND SUD EST,,,28 ALL LEON GAMBETTA,,13001 MARSEILLE 1,,28,,ALL,LEON GAMBETTA,13001,,93,Provence-Alpes-Côte d'Azur,13,3,12,201,MARSEILLE 1,00,7,59,200054807,73,9310,1,,1,O,201708,,,8559A,Formation continue d'adultes,2017,01,1 ou 2 salariés,NN,2017,1,20170410,20170410,,,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,C,,,,2017-08-11T08:33:21,CTS,20170410,5,,,,,,,,1,0,1,0,0,,32222300900166,
340763168,00028,ACTIVITE 3E AGE ROMAINVILLE,,,139 RUE DE LA REPUBLIQUE,,93230 ROMAINVILLE,FRANCE,ACTIVITE 3E AGE ROMAINVILLE,,,139 RUE DE LA REPUBLIQUE,,93230 ROMAINVILLE,,139,,RUE,DE LA REPUBLIQUE,93230,,11,Île-de-France,93,1,03,063,ROMAINVILLE,00,8,51,200054781,42,1101,1,,1,O,201209,,,9312Z,Activités de clubs de sports,2008,00,0 salarié,0,2015,9,19961225,19961225,NR,99,,P,S,N,,0,ACTIVITE 3E AGE ROMAINVILLE,,,,,W931001968,00028,11,93063,,9220,Association déclarée ,9312Z,Activités de clubs de sports,2008,,O,20160101,00,0 salarié,0,2015,PME,19870106,201209,1,S,N,,,,,,,,E,,,,2017-08-11T09:19:51,STS,20170424,,,,,,,,,,,,,,,,
